{'depth': 104, 'type': 'start', 'count': 0}
{'depth': 421, 'type': 'increase', 'count': 78}
{'depth': 422, 'type': 'increase', 'count': 79}
{'depth': 421, 'type': 'decrease', 'count': 79}
{'depth': 422, 'type': 'increase', 'count': 80}
{'depth': 441, 'type': 'increase', 'count': 81}
{'depth': 438, 'type': 'decrease', 'count': 81}
{'depth': 428, 'type': 'decrease', 'count': 81}
{'depth': 431, 'type': 'increase', 'count': 82}
{'depth': 443, 'type': 'increase', 'count': 83}
{'depth': 427, 'type': 'decrease', 'count': 83}
{'depth': 433, 'type': 'increase', 'count': 84}
{'depth': 434, 'type': 'increase', 'count': 85}
{'depth': 432, 'type': 'decrease', 'count': 85}
{'depth': 421, 'type': 'decrease', 'count': 85}
{'depth': 429, 'type': 'increase', 'count': 86}
{'depth': 432, 'type': 'increase', 'count': 87}
{'depth': 434, 'type': 'increase', 'count': 88}
{'depth': 439, 'type': 'increase', 'count': 89}
{'depth': 437, 'type': 'decrease', 'count': 89}
{'depth': 445, 'type': 'increase', 'count': 90}
{'depth': 456, 'type': 'increase', 'count': 91}
{'depth': 462, 'type': 'increase', 'count': 92}
{'depth': 464, 'type': 'increase', 'count': 93}
{'depth': 472, 'type': 'increase', 'count': 94}
{'depth': 474, 'type': 'increase', 'count': 95}
{'depth': 460, 'type': 'decrease', 'count': 95}
{'depth': 433, 'type': 'decrease', 'count': 95}
{'depth': 439, 'type': 'increase', 'count': 96}
{'depth': 433, 'type': 'decrease', 'count': 96}
{'depth': 444, 'type': 'increase', 'count': 97}
{'depth': 456, 'type': 'increase', 'count': 98}
{'depth': 457, 'type': 'increase', 'count': 99}
{'depth': 452, 'type': 'decrease', 'count': 99}
{'depth': 454, 'type': 'increase', 'count': 100}
{'depth': 455, 'type': 'increase', 'count': 101}
{'depth': 465, 'type': 'increase', 'count': 102}
{'depth': 474, 'type': 'increase', 'count': 103}
{'depth': 475, 'type': 'increase', 'count': 104}
{'depth': 486, 'type': 'increase', 'count': 105}
{'depth': 489, 'type': 'increase', 'count': 106}
{'depth': 490, 'type': 'increase', 'count': 107}
{'depth': 491, 'type': 'increase', 'count': 108}
{'depth': 472, 'type': 'decrease', 'count': 108}
{'depth': 477, 'type': 'increase', 'count': 109}
{'depth': 475, 'type': 'decrease', 'count': 109}
{'depth': 493, 'type': 'increase', 'count': 110}
{'depth': 497, 'type': 'increase', 'count': 111}
{'depth': 495, 'type': 'decrease', 'count': 111}
{'depth': 496, 'type': 'increase', 'count': 112}
{'depth': 488, 'type': 'decrease', 'count': 112}
{'depth': 500, 'type': 'increase', 'count': 113}
{'depth': 501, 'type': 'increase', 'count': 114}
{'depth': 504, 'type': 'increase', 'count': 115}
{'depth': 505, 'type': 'increase', 'count': 116}
{'depth': 524, 'type': 'increase', 'count': 117}
{'depth': 525, 'type': 'increase', 'count': 118}
{'depth': 522, 'type': 'decrease', 'count': 118}
{'depth': 530, 'type': 'increase', 'count': 119}
{'depth': 548, 'type': 'increase', 'count': 120}
{'depth': 545, 'type': 'decrease', 'count': 120}
{'depth': 562, 'type': 'increase', 'count': 121}
{'depth': 570, 'type': 'increase', 'count': 122}
{'depth': 582, 'type': 'increase', 'count': 123}
{'depth': 583, 'type': 'increase', 'count': 124}
{'depth': 584, 'type': 'increase', 'count': 125}
{'depth': 586, 'type': 'increase', 'count': 126}
{'depth': 585, 'type': 'decrease', 'count': 126}
{'depth': 604, 'type': 'increase', 'count': 127}
{'depth': 606, 'type': 'increase', 'count': 128}
{'depth': 610, 'type': 'increase', 'count': 129}
{'depth': 617, 'type': 'increase', 'count': 130}
{'depth': 619, 'type': 'increase', 'count': 131}
{'depth': 621, 'type': 'increase', 'count': 132}
{'depth': 623, 'type': 'increase', 'count': 133}
{'depth': 620, 'type': 'decrease', 'count': 133}
{'depth': 622, 'type': 'increase', 'count': 134}
{'depth': 624, 'type': 'increase', 'count': 135}
{'depth': 625, 'type': 'increase', 'count': 136}
{'depth': 633, 'type': 'increase', 'count': 137}
{'depth': 627, 'type': 'decrease', 'count': 137}
{'depth': 623, 'type': 'decrease', 'count': 137}
{'depth': 638, 'type': 'increase', 'count': 138}
{'depth': 639, 'type': 'increase', 'count': 139}
{'depth': 644, 'type': 'increase', 'count': 140}
{'depth': 643, 'type': 'decrease', 'count': 140}
{'depth': 644, 'type': 'increase', 'count': 141}
{'depth': 648, 'type': 'increase', 'count': 142}
{'depth': 663, 'type': 'increase', 'count': 143}
{'depth': 695, 'type': 'increase', 'count': 144}
{'depth': 681, 'type': 'decrease', 'count': 144}
{'depth': 682, 'type': 'increase', 'count': 145}
{'depth': 686, 'type': 'increase', 'count': 146}
{'depth': 692, 'type': 'increase', 'count': 147}
{'depth': 708, 'type': 'increase', 'count': 148}
{'depth': 712, 'type': 'increase', 'count': 149}
{'depth': 720, 'type': 'increase', 'count': 150}
{'depth': 736, 'type': 'increase', 'count': 151}
{'depth': 737, 'type': 'increase', 'count': 152}
{'depth': 738, 'type': 'increase', 'count': 153}
{'depth': 739, 'type': 'increase', 'count': 154}
{'depth': 738, 'type': 'decrease', 'count': 154}
{'depth': 741, 'type': 'increase', 'count': 155}
{'depth': 742, 'type': 'increase', 'count': 156}
{'depth': 741, 'type': 'decrease', 'count': 156}
{'depth': 746, 'type': 'increase', 'count': 157}
{'depth': 748, 'type': 'increase', 'count': 158}
{'depth': 751, 'type': 'increase', 'count': 159}
{'depth': 750, 'type': 'decrease', 'count': 159}
{'depth': 782, 'type': 'increase', 'count': 160}
{'depth': 788, 'type': 'increase', 'count': 161}
{'depth': 793, 'type': 'increase', 'count': 162}
{'depth': 799, 'type': 'increase', 'count': 163}
{'depth': 790, 'type': 'decrease', 'count': 163}
{'depth': 834, 'type': 'increase', 'count': 164}
{'depth': 852, 'type': 'increase', 'count': 165}
{'depth': 860, 'type': 'increase', 'count': 166}
{'depth': 848, 'type': 'decrease', 'count': 166}
{'depth': 856, 'type': 'increase', 'count': 167}
{'depth': 857, 'type': 'increase', 'count': 168}
{'depth': 859, 'type': 'increase', 'count': 169}
{'depth': 860, 'type': 'increase', 'count': 170}
{'depth': 863, 'type': 'increase', 'count': 171}
{'depth': 849, 'type': 'decrease', 'count': 171}
{'depth': 844, 'type': 'decrease', 'count': 171}
{'depth': 854, 'type': 'increase', 'count': 172}
{'depth': 860, 'type': 'increase', 'count': 173}
{'depth': 862, 'type': 'increase', 'count': 174}
{'depth': 865, 'type': 'increase', 'count': 175}
{'depth': 864, 'type': 'decrease', 'count': 175}
{'depth': 866, 'type': 'increase', 'count': 176}
{'depth': 887, 'type': 'increase', 'count': 177}
{'depth': 878, 'type': 'decrease', 'count': 177}
{'depth': 899, 'type': 'increase', 'count': 178}
{'depth': 893, 'type': 'decrease', 'count': 178}
{'depth': 895, 'type': 'increase', 'count': 179}
{'depth': 896, 'type': 'increase', 'count': 180}
{'depth': 897, 'type': 'increase', 'count': 181}
{'depth': 876, 'type': 'decrease', 'count': 181}
{'depth': 877, 'type': 'increase', 'count': 182}
{'depth': 886, 'type': 'increase', 'count': 183}
{'depth': 887, 'type': 'increase', 'count': 184}
{'depth': 898, 'type': 'increase', 'count': 185}
{'depth': 905, 'type': 'increase', 'count': 186}
{'depth': 906, 'type': 'increase', 'count': 187}
{'depth': 907, 'type': 'increase', 'count': 188}
{'depth': 875, 'type': 'decrease', 'count': 188}
{'depth': 877, 'type': 'increase', 'count': 189}
{'depth': 875, 'type': 'decrease', 'count': 189}
{'depth': 894, 'type': 'increase', 'count': 190}
{'depth': 893, 'type': 'decrease', 'count': 190}
{'depth': 871, 'type': 'decrease', 'count': 190}
{'depth': 878, 'type': 'increase', 'count': 191}
{'depth': 879, 'type': 'increase', 'count': 192}
{'depth': 872, 'type': 'decrease', 'count': 192}
{'depth': 868, 'type': 'decrease', 'count': 192}
{'depth': 873, 'type': 'increase', 'count': 193}
{'depth': 884, 'type': 'increase', 'count': 194}
{'depth': 900, 'type': 'increase', 'count': 195}
{'depth': 899, 'type': 'decrease', 'count': 195}
{'depth': 886, 'type': 'decrease', 'count': 195}
{'depth': 896, 'type': 'increase', 'count': 196}
{'depth': 903, 'type': 'increase', 'count': 197}
{'depth': 909, 'type': 'increase', 'count': 198}
{'depth': 928, 'type': 'increase', 'count': 199}
{'depth': 932, 'type': 'increase', 'count': 200}
{'depth': 935, 'type': 'increase', 'count': 201}
{'depth': 928, 'type': 'decrease', 'count': 201}
{'depth': 913, 'type': 'decrease', 'count': 201}
{'depth': 917, 'type': 'increase', 'count': 202}
{'depth': 919, 'type': 'increase', 'count': 203}
{'depth': 920, 'type': 'increase', 'count': 204}
{'depth': 912, 'type': 'decrease', 'count': 204}
{'depth': 917, 'type': 'increase', 'count': 205}
{'depth': 923, 'type': 'increase', 'count': 206}
{'depth': 926, 'type': 'increase', 'count': 207}
{'depth': 927, 'type': 'increase', 'count': 208}
{'depth': 932, 'type': 'increase', 'count': 209}
{'depth': 936, 'type': 'increase', 'count': 210}
{'depth': 944, 'type': 'increase', 'count': 211}
{'depth': 942, 'type': 'decrease', 'count': 211}
{'depth': 961, 'type': 'increase', 'count': 212}
{'depth': 960, 'type': 'decrease', 'count': 212}
{'depth': 961, 'type': 'increase', 'count': 213}
{'depth': 956, 'type': 'decrease', 'count': 213}
{'depth': 951, 'type': 'decrease', 'count': 213}
{'depth': 971, 'type': 'increase', 'count': 214}
{'depth': 980, 'type': 'increase', 'count': 215}
{'depth': 990, 'type': 'increase', 'count': 216}
{'depth': 999, 'type': 'increase', 'count': 217}
{'depth': 1005, 'type': 'increase', 'count': 218}
{'depth': 1008, 'type': 'increase', 'count': 219}
{'depth': 1010, 'type': 'increase', 'count': 220}
{'depth': 1011, 'type': 'increase', 'count': 221}
{'depth': 1032, 'type': 'increase', 'count': 222}
{'depth': 1034, 'type': 'increase', 'count': 223}
{'depth': 1041, 'type': 'increase', 'count': 224}
{'depth': 1066, 'type': 'increase', 'count': 225}
{'depth': 1067, 'type': 'increase', 'count': 226}
{'depth': 1064, 'type': 'decrease', 'count': 226}
{'depth': 1066, 'type': 'increase', 'count': 227}
{'depth': 1070, 'type': 'increase', 'count': 228}
{'depth': 1068, 'type': 'decrease', 'count': 228}
{'depth': 1079, 'type': 'increase', 'count': 229}
{'depth': 1100, 'type': 'increase', 'count': 230}
{'depth': 1122, 'type': 'increase', 'count': 231}
{'depth': 1118, 'type': 'decrease', 'count': 231}
{'depth': 1111, 'type': 'decrease', 'count': 231}
{'depth': 1113, 'type': 'increase', 'count': 232}
{'depth': 1141, 'type': 'increase', 'count': 233}
{'depth': 1145, 'type': 'increase', 'count': 234}
{'depth': 1170, 'type': 'increase', 'count': 235}
{'depth': 1171, 'type': 'increase', 'count': 236}
{'depth': 1170, 'type': 'decrease', 'count': 236}
{'depth': 1167, 'type': 'decrease', 'count': 236}
{'depth': 1170, 'type': 'increase', 'count': 237}
{'depth': 1171, 'type': 'increase', 'count': 238}
{'depth': 1178, 'type': 'increase', 'count': 239}
{'depth': 1183, 'type': 'increase', 'count': 240}
{'depth': 1186, 'type': 'increase', 'count': 241}
{'depth': 1189, 'type': 'increase', 'count': 242}
{'depth': 1190, 'type': 'increase', 'count': 243}
{'depth': 1198, 'type': 'increase', 'count': 244}
{'depth': 1200, 'type': 'increase', 'count': 245}
{'depth': 1202, 'type': 'increase', 'count': 246}
{'depth': 1204, 'type': 'increase', 'count': 247}
{'depth': 1207, 'type': 'increase', 'count': 248}
{'depth': 1226, 'type': 'increase', 'count': 249}
{'depth': 1243, 'type': 'increase', 'count': 250}
{'depth': 1245, 'type': 'increase', 'count': 251}
{'depth': 1246, 'type': 'increase', 'count': 252}
{'depth': 1247, 'type': 'increase', 'count': 253}
{'depth': 1273, 'type': 'increase', 'count': 254}
{'depth': 1267, 'type': 'decrease', 'count': 254}
{'depth': 1274, 'type': 'increase', 'count': 255}
{'depth': 1276, 'type': 'increase', 'count': 256}
{'depth': 1298, 'type': 'increase', 'count': 257}
{'depth': 1293, 'type': 'decrease', 'count': 257}
{'depth': 1313, 'type': 'increase', 'count': 258}
{'depth': 1315, 'type': 'increase', 'count': 259}
{'depth': 1298, 'type': 'decrease', 'count': 259}
{'depth': 1301, 'type': 'increase', 'count': 260}
{'depth': 1316, 'type': 'increase', 'count': 261}
{'depth': 1322, 'type': 'increase', 'count': 262}
{'depth': 1282, 'type': 'decrease', 'count': 262}
{'depth': 1256, 'type': 'decrease', 'count': 262}
{'depth': 1257, 'type': 'increase', 'count': 263}
{'depth': 1263, 'type': 'increase', 'count': 264}
{'depth': 1271, 'type': 'increase', 'count': 265}
{'depth': 1294, 'type': 'increase', 'count': 266}
{'depth': 1313, 'type': 'increase', 'count': 267}
{'depth': 1322, 'type': 'increase', 'count': 268}
{'depth': 1323, 'type': 'increase', 'count': 269}
{'depth': 1322, 'type': 'decrease', 'count': 269}
{'depth': 1324, 'type': 'increase', 'count': 270}
{'depth': 1309, 'type': 'decrease', 'count': 270}
{'depth': 1320, 'type': 'increase', 'count': 271}
{'depth': 1325, 'type': 'increase', 'count': 272}
{'depth': 1321, 'type': 'decrease', 'count': 272}
{'depth': 1327, 'type': 'increase', 'count': 273}
{'depth': 1335, 'type': 'increase', 'count': 274}
{'depth': 1334, 'type': 'decrease', 'count': 274}
{'depth': 1335, 'type': 'increase', 'count': 275}
{'depth': 1346, 'type': 'increase', 'count': 276}
{'depth': 1382, 'type': 'increase', 'count': 277}
{'depth': 1388, 'type': 'increase', 'count': 278}
{'depth': 1393, 'type': 'increase', 'count': 279}
{'depth': 1395, 'type': 'increase', 'count': 280}
{'depth': 1403, 'type': 'increase', 'count': 281}
{'depth': 1417, 'type': 'increase', 'count': 282}
{'depth': 1424, 'type': 'increase', 'count': 283}
{'depth': 1426, 'type': 'increase', 'count': 284}
{'depth': 1427, 'type': 'increase', 'count': 285}
{'depth': 1428, 'type': 'increase', 'count': 286}
{'depth': 1429, 'type': 'increase', 'count': 287}
{'depth': 1432, 'type': 'increase', 'count': 288}
{'depth': 1431, 'type': 'decrease', 'count': 288}
{'depth': 1430, 'type': 'decrease', 'count': 288}
{'depth': 1411, 'type': 'decrease', 'count': 288}
{'depth': 1439, 'type': 'increase', 'count': 289}
{'depth': 1440, 'type': 'increase', 'count': 290}
{'depth': 1441, 'type': 'increase', 'count': 291}
{'depth': 1458, 'type': 'increase', 'count': 292}
{'depth': 1461, 'type': 'increase', 'count': 293}
{'depth': 1466, 'type': 'increase', 'count': 294}
{'depth': 1471, 'type': 'increase', 'count': 295}
{'depth': 1481, 'type': 'increase', 'count': 296}
{'depth': 1483, 'type': 'increase', 'count': 297}
{'depth': 1486, 'type': 'increase', 'count': 298}
{'depth': 1488, 'type': 'increase', 'count': 299}
{'depth': 1494, 'type': 'increase', 'count': 300}
{'depth': 1490, 'type': 'decrease', 'count': 300}
{'depth': 1492, 'type': 'increase', 'count': 301}
{'depth': 1489, 'type': 'decrease', 'count': 301}
{'depth': 1533, 'type': 'increase', 'count': 302}
{'depth': 1560, 'type': 'increase', 'count': 303}
{'depth': 1577, 'type': 'increase', 'count': 304}
{'depth': 1582, 'type': 'increase', 'count': 305}
{'depth': 1583, 'type': 'increase', 'count': 306}
{'depth': 1592, 'type': 'increase', 'count': 307}
{'depth': 1594, 'type': 'increase', 'count': 308}
{'depth': 1593, 'type': 'decrease', 'count': 308}
{'depth': 1594, 'type': 'increase', 'count': 309}
{'depth': 1599, 'type': 'increase', 'count': 310}
{'depth': 1605, 'type': 'increase', 'count': 311}
{'depth': 1616, 'type': 'increase', 'count': 312}
{'depth': 1619, 'type': 'increase', 'count': 313}
{'depth': 1621, 'type': 'increase', 'count': 314}
{'depth': 1627, 'type': 'increase', 'count': 315}
{'depth': 1651, 'type': 'increase', 'count': 316}
{'depth': 1655, 'type': 'increase', 'count': 317}
{'depth': 1656, 'type': 'increase', 'count': 318}
{'depth': 1655, 'type': 'decrease', 'count': 318}
{'depth': 1653, 'type': 'decrease', 'count': 318}
{'depth': 1651, 'type': 'decrease', 'count': 318}
{'depth': 1652, 'type': 'increase', 'count': 319}
{'depth': 1653, 'type': 'increase', 'count': 320}
{'depth': 1657, 'type': 'increase', 'count': 321}
{'depth': 1658, 'type': 'increase', 'count': 322}
{'depth': 1660, 'type': 'increase', 'count': 323}
{'depth': 1674, 'type': 'increase', 'count': 324}
{'depth': 1680, 'type': 'increase', 'count': 325}
{'depth': 1694, 'type': 'increase', 'count': 326}
{'depth': 1700, 'type': 'increase', 'count': 327}
{'depth': 1698, 'type': 'decrease', 'count': 327}
{'depth': 1676, 'type': 'decrease', 'count': 327}
{'depth': 1648, 'type': 'decrease', 'count': 327}
{'depth': 1644, 'type': 'decrease', 'count': 327}
{'depth': 1643, 'type': 'decrease', 'count': 327}
{'depth': 1645, 'type': 'increase', 'count': 328}
{'depth': 1652, 'type': 'increase', 'count': 329}
{'depth': 1653, 'type': 'increase', 'count': 330}
{'depth': 1654, 'type': 'increase', 'count': 331}
{'depth': 1660, 'type': 'increase', 'count': 332}
{'depth': 1663, 'type': 'increase', 'count': 333}
{'depth': 1664, 'type': 'increase', 'count': 334}
{'depth': 1668, 'type': 'increase', 'count': 335}
{'depth': 1671, 'type': 'increase', 'count': 336}
{'depth': 1681, 'type': 'increase', 'count': 337}
{'depth': 1687, 'type': 'increase', 'count': 338}
{'depth': 1699, 'type': 'increase', 'count': 339}
{'depth': 1702, 'type': 'increase', 'count': 340}
{'depth': 1705, 'type': 'increase', 'count': 341}
{'depth': 1707, 'type': 'increase', 'count': 342}
{'depth': 1712, 'type': 'increase', 'count': 343}
{'depth': 1739, 'type': 'increase', 'count': 344}
{'depth': 1750, 'type': 'increase', 'count': 345}
{'depth': 1753, 'type': 'increase', 'count': 346}
{'depth': 1755, 'type': 'increase', 'count': 347}
{'depth': 1779, 'type': 'increase', 'count': 348}
{'depth': 1769, 'type': 'decrease', 'count': 348}
{'depth': 1792, 'type': 'increase', 'count': 349}
{'depth': 1793, 'type': 'increase', 'count': 350}
{'depth': 1798, 'type': 'increase', 'count': 351}
{'depth': 1828, 'type': 'increase', 'count': 352}
{'depth': 1832, 'type': 'increase', 'count': 353}
{'depth': 1811, 'type': 'decrease', 'count': 353}
{'depth': 1844, 'type': 'increase', 'count': 354}
{'depth': 1845, 'type': 'increase', 'count': 355}
{'depth': 1846, 'type': 'increase', 'count': 356}
{'depth': 1848, 'type': 'increase', 'count': 357}
{'depth': 1854, 'type': 'increase', 'count': 358}
{'depth': 1857, 'type': 'increase', 'count': 359}
{'depth': 1859, 'type': 'increase', 'count': 360}
{'depth': 1863, 'type': 'increase', 'count': 361}
{'depth': 1866, 'type': 'increase', 'count': 362}
{'depth': 1862, 'type': 'decrease', 'count': 362}
{'depth': 1894, 'type': 'increase', 'count': 363}
{'depth': 1898, 'type': 'increase', 'count': 364}
{'depth': 1875, 'type': 'decrease', 'count': 364}
{'depth': 1878, 'type': 'increase', 'count': 365}
{'depth': 1879, 'type': 'increase', 'count': 366}
{'depth': 1884, 'type': 'increase', 'count': 367}
{'depth': 1897, 'type': 'increase', 'count': 368}
{'depth': 1883, 'type': 'decrease', 'count': 368}
{'depth': 1894, 'type': 'increase', 'count': 369}
{'depth': 1889, 'type': 'decrease', 'count': 369}
{'depth': 1890, 'type': 'increase', 'count': 370}
{'depth': 1889, 'type': 'decrease', 'count': 370}
{'depth': 1907, 'type': 'increase', 'count': 371}
{'depth': 1924, 'type': 'increase', 'count': 372}
{'depth': 1926, 'type': 'increase', 'count': 373}
{'depth': 1936, 'type': 'increase', 'count': 374}
{'depth': 1940, 'type': 'increase', 'count': 375}
{'depth': 1949, 'type': 'increase', 'count': 376}
{'depth': 1950, 'type': 'increase', 'count': 377}
{'depth': 1968, 'type': 'increase', 'count': 378}
{'depth': 1973, 'type': 'increase', 'count': 379}
{'depth': 1974, 'type': 'increase', 'count': 380}
{'depth': 1971, 'type': 'decrease', 'count': 380}
{'depth': 1982, 'type': 'increase', 'count': 381}
{'depth': 1989, 'type': 'increase', 'count': 382}
{'depth': 2004, 'type': 'increase', 'count': 383}
{'depth': 2005, 'type': 'increase', 'count': 384}
{'depth': 2007, 'type': 'increase', 'count': 385}
{'depth': 2018, 'type': 'increase', 'count': 386}
{'depth': 2032, 'type': 'increase', 'count': 387}
{'depth': 2037, 'type': 'increase', 'count': 388}
{'depth': 2039, 'type': 'increase', 'count': 389}
{'depth': 2040, 'type': 'increase', 'count': 390}
{'depth': 2042, 'type': 'increase', 'count': 391}
{'depth': 2046, 'type': 'increase', 'count': 392}
{'depth': 2056, 'type': 'increase', 'count': 393}
{'depth': 2053, 'type': 'decrease', 'count': 393}
{'depth': 2054, 'type': 'increase', 'count': 394}
{'depth': 2057, 'type': 'increase', 'count': 395}
{'depth': 2059, 'type': 'increase', 'count': 396}
{'depth': 2063, 'type': 'increase', 'count': 397}
{'depth': 2067, 'type': 'increase', 'count': 398}
{'depth': 2065, 'type': 'decrease', 'count': 398}
{'depth': 2059, 'type': 'decrease', 'count': 398}
{'depth': 2049, 'type': 'decrease', 'count': 398}
{'depth': 2052, 'type': 'increase', 'count': 399}
{'depth': 2045, 'type': 'decrease', 'count': 399}
{'depth': 2053, 'type': 'increase', 'count': 400}
{'depth': 2057, 'type': 'increase', 'count': 401}
{'depth': 2063, 'type': 'increase', 'count': 402}
{'depth': 2066, 'type': 'increase', 'count': 403}
{'depth': 2061, 'type': 'decrease', 'count': 403}
{'depth': 2068, 'type': 'increase', 'count': 404}
{'depth': 2063, 'type': 'decrease', 'count': 404}
{'depth': 2058, 'type': 'decrease', 'count': 404}
{'depth': 2060, 'type': 'increase', 'count': 405}
{'depth': 2061, 'type': 'increase', 'count': 406}
{'depth': 2066, 'type': 'increase', 'count': 407}
{'depth': 2065, 'type': 'decrease', 'count': 407}
{'depth': 2093, 'type': 'increase', 'count': 408}
{'depth': 2094, 'type': 'increase', 'count': 409}
{'depth': 2126, 'type': 'increase', 'count': 410}
{'depth': 2135, 'type': 'increase', 'count': 411}
{'depth': 2136, 'type': 'increase', 'count': 412}
{'depth': 2119, 'type': 'decrease', 'count': 412}
{'depth': 2121, 'type': 'increase', 'count': 413}
{'depth': 2134, 'type': 'increase', 'count': 414}
{'depth': 2135, 'type': 'increase', 'count': 415}
